state,district,year,total_crimes
Andhra Pradesh,ADILABAD,2013,6381
Andhra Pradesh,ANANTAPUR,2013,6913
Andhra Pradesh,CHITTOOR,2013,5610
Andhra Pradesh,CUDDAPAH,2013,7048
Andhra Pradesh,CYBERABAD,2013,19992
Andhra Pradesh,EAST GODAVARI,2013,6779
Andhra Pradesh,GUNTAKAL RLY.,2013,301
Andhra Pradesh,GUNTUR,2013,7026
Andhra Pradesh,GUNTUR URBAN,2013,4878
Andhra Pradesh,HYDERABAD CITY,2013,16355
Andhra Pradesh,KARIMNAGAR,2013,8836
Andhra Pradesh,KHAMMAM,2013,10607
Andhra Pradesh,KRISHNA,2013,6876
Andhra Pradesh,KURNOOL,2013,7595
Andhra Pradesh,MAHABOOBNAGAR,2013,8092
Andhra Pradesh,MEDAK,2013,7054
Andhra Pradesh,NALGONDA,2013,10291
Andhra Pradesh,NELLORE,2013,7326
Andhra Pradesh,NIZAMABAD,2013,7662
Andhra Pradesh,PRAKASHAM,2013,6399
Andhra Pradesh,RAJAHMUNDRY,2013,2251
Andhra Pradesh,RANGA REDDY,2013,2191
Andhra Pradesh,SECUNDERABAD RLY.,2013,849
Andhra Pradesh,SRIKAKULAM,2013,4841
Andhra Pradesh,TIRUPATHI URBAN,2013,2821
Andhra Pradesh,VIJAYAWADA CITY,2013,8978
Andhra Pradesh,VIJAYAWADA RLY.,2013,773
Andhra Pradesh,VISAKHA RURAL,2013,3238
Andhra Pradesh,VISAKHAPATNAM,2013,6775
Andhra Pradesh,VIZIANAGARAM,2013,4918
Andhra Pradesh,WARANGAL,2013,5421
Andhra Pradesh,WARANGAL URBAN,2013,4440
Andhra Pradesh,WEST GODAVARI,2013,8498
Andhra Pradesh,ZZ TOTAL,2013,218015
Arunachal Pradesh,ANJAW,2013,28
Arunachal Pradesh,CHANGLANG,2013,189
Arunachal Pradesh,DIBANG VALLEY,2013,91
Arunachal Pradesh,K/KUMEY,2013,41
Arunachal Pradesh,KAMENG EAST,2013,169
Arunachal Pradesh,KAMENG WEST,2013,164
Arunachal Pradesh,LOHIT,2013,330
Arunachal Pradesh,LONGDING,2013,78
Arunachal Pradesh,PAPUM PARE,2013,600
Arunachal Pradesh,RURAL,2013,109
Arunachal Pradesh,SIANG EAST,2013,217
Arunachal Pradesh,SIANG UPPER,2013,69
Arunachal Pradesh,SIANG WEST,2013,263
Arunachal Pradesh,SUBANSIRI LOWER,2013,109
Arunachal Pradesh,SUBANSIRI UPPER,2013,164
Arunachal Pradesh,TAWANG,2013,47
Arunachal Pradesh,TIRAP,2013,93
Arunachal Pradesh,UPPER DIBANG VALLEY,2013,15
Arunachal Pradesh,ZZ TOTAL,2013,2776
Assam,BAKSA,2013,768
Assam,BARPETA,2013,8597
Assam,BIEO,2013,7
Assam,BONGAIGAON,2013,1565
Assam,C.I.D.,2013,58
Assam,CACHAR,2013,4880
Assam,CHIRANG,2013,763
Assam,DARRANG,2013,2459
Assam,DHEMAJI,2013,1397
Assam,DHUBRI,2013,6857
Assam,DIBRUGARH,2013,3529
Assam,G.R.P.,2013,317
